trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",35,0,-146.8237670703217,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,16,-28.833811954866473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-94.27630127452522,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-62.31931843894655,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,15,-28.417333782546105,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,3,-68.08804785422801,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,6,-7.607188393613124,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,14,-42.776503477700736,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,1,-62.484051424174815,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,0,-88.98706847579555,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,3,-26.440335127607547,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-105.80967121397366,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,1,-140.1640508473783,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 3}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-127.98633533409141,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,-65.1090603392154,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",25,15,-49.61169506298205,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-48.259274675994234,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,0,-28.92416509015394,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,13,-3.754804079312078,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-21.093736359276274,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",30,16,-55.58119622904914,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-28.8649057222465,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-86.43988764789444,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-40.38332283163248,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,8,-38.314635692209265,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,8,-25.054858587494095,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,9,-56.549002658216175,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,0,-39.776584949983096,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,13,7.558465751595853,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,12,-28.055287781059967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,3.0671039930021577,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,9,-11.851223109812324,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,7,-55.27300108869371,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,0,22.056318692527107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,9,-40.589409435717116,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",35,18,13.295078062069162,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,10,-51.86802254335696,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,10,7.6604484811603,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,9,-55.4297915571736,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,8,-31.157128346304464,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,20,5.683496843474505,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,0,-20.981102307618812,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,12,-40.94971316830895,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,17,21.133380779222783,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,0,18.951352599790205,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,8,6.5096670656865685,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,4,-38.484110308377765,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,10,-8.144690234760414,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,8,12.96120582165154,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,9,7.352052699249429,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,31.02936314752254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,6,18.44320285021767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,12,-21.4544704796923,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,-31.79244797126525,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",30,16,9.441259611338396,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,12,9.971806773879642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,6,-33.44254435727837,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,15,17.75033996389078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,2,8.373141608695299,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,10,15.734241254946387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",30,20,17.509508072167645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,14,19.00067878376933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,3,27.10245134632373,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",30,4,12.803952234363805,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,2,29.61639823038764,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,12,11.728804315737339,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,7,24.014785053805163,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",30,0,17.962435100225868,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,0,26.50101697237129,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,16,6.997776743218174,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,0,27.066815372644374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,2,34.061291880749465,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",30,22,15.044966782382152,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
